year,date,decade,period
1990,1990-01-01,1990,1990–1999
1991,1991-01-01,1990,1990–1999
1992,1992-01-01,1990,1990–1999
1993,1993-01-01,1990,1990–1999
1994,1994-01-01,1990,1990–1999
1995,1995-01-01,1990,1990–1999
1996,1996-01-01,1990,1990–1999
1997,1997-01-01,1990,1990–1999
1998,1998-01-01,1990,1990–1999
1999,1999-01-01,1990,1990–1999
2000,2000-01-01,2000,2000–2009
2001,2001-01-01,2000,2000–2009
2002,2002-01-01,2000,2000–2009
2003,2003-01-01,2000,2000–2009
2004,2004-01-01,2000,2000–2009
2005,2005-01-01,2000,2000–2009
2006,2006-01-01,2000,2000–2009
2007,2007-01-01,2000,2000–2009
2008,2008-01-01,2000,2000–2009
2009,2009-01-01,2000,2000–2009
2010,2010-01-01,2010,2010–2019
2011,2011-01-01,2010,2010–2019
2012,2012-01-01,2010,2010–2019
2013,2013-01-01,2010,2010–2019
2014,2014-01-01,2010,2010–2019
2015,2015-01-01,2010,2010–2019
2016,2016-01-01,2010,2010–2019
2017,2017-01-01,2010,2010–2019
2018,2018-01-01,2010,2010–2019
2019,2019-01-01,2010,2010–2019
2020,2020-01-01,2020,2020–2029
2021,2021-01-01,2020,2020–2029
2022,2022-01-01,2020,2020–2029
2023,2023-01-01,2020,2020–2029
2024,2024-01-01,2020,2020–2029
