year,forecast_temp_anomaly,forecast_temp_lower,forecast_temp_upper
2025,0.3832217931726503,0.2202730947878225,0.5461162636911738
2026,0.4089015182304452,0.24552822391782106,0.565745810368102
2027,0.4345812432882401,0.26844936713472756,0.5978818618181819
2028,0.460260968346035,0.2943489758972844,0.6132701831914098
2029,0.48601104881494706,0.3143609013188334,0.6530325345002317
2030,0.511690773872742,0.35608454141698903,0.6763601279491342
2031,0.5373704989305369,0.38032067456481233,0.6979752691872981
2032,0.5630502239883317,0.40246216893536096,0.7309589202957162
2033,0.5888003044572439,0.4337913702025986,0.7497248864369677
2034,0.6144800295150387,0.45013785872180284,0.7791470849533273
